# voltage, voltageRMS, current, currentRMS
0.0,0.0,-0.004813986100000001,0.00010450028443690436
397.4,0.48989794855663565,0.009274797682000001,0.00017992018507115404
798.2,0.4,0.0405895988,0.00013150726220524992
1197.9,0.3,0.09168417011,0.0001521592927058846
1597.2,0.4,0.16471502389999998,0.00011715308902666306
1997.9,0.3,0.2618310376,0.00014056498805193308
2396.0,0.0,0.384927619,0.000133835600661417
2795.2,0.39999999999999997,0.5363684071,0.00023345094229301576
3195.0,0.0,0.7174067284000001,0.00023020847480065265
3595.0,0.0,0.9308480919,0.00026765870179632536
3994.0,0.0,1.1775995369999999,0.000464355881281823
4393.0,0.0,1.460640611,0.000446342989021887
4793.0,0.0,1.7823717879999996,0.00041474079777130846
4993.0,0.0,1.9591684360000001,0.0001519425555398901
4593.9,0.3,1.6193254160000001,0.00022058298462026822
4194.0,0.0,1.317420328,0.00026287903609073
3794.0,0.0,1.052455647,0.0003075885737816157
3396.0,0.0,0.8233454812,0.00021418451421277454
2995.0,0.0,0.6254896368999999,0.00023017074408076597
2595.5,0.5,0.4587271843,0.00018683817077196104
2196.0,0.0,0.32164452979999997,0.0001166102779490812
1797.0,0.0,0.21114925870000004,0.0002037017504254878
1397.0,0.0,0.12611878389999998,0.00015884838825776793
998.0,0.0,0.06397627409000001,0.0001688008384165577
598.0,0.0,0.02235065094,0.0001932260164635306
# 198.0,0.0,-6.252748359999999e-05,7.53339312073014e-05
100.0,0.0,-0.0033336617149999997,7.697865476205071e-05
499.2,0.4,0.014866031829999998,8.822922690360677e-05
899.0,0.0,0.05123087876000001,0.0001168400038266435
1299.0,0.0,0.1081849834,0.0001139419539943037
1697.0,0.0,0.1868261058,0.00010774611163174302
2097.0,0.0,0.2905628577,0.0001424513161603333
2495.8,0.39999999999999997,0.4205196712,0.000222332319815545
2895.0,0.0,0.5788495433999999,0.00016653391626825854
3295.0,0.0,0.7674826953,0.00021939670664624075
3694.0,0.0,0.9887554041,0.0002279981740038513
4093.0,0.0,1.243681666,0.00031671871476748024
4493.0,0.0,1.536350708,0.000327292391625629
4893.0,0.0,1.8675026380000002,0.0004439000374813613
4693.4,0.4898979485566356,1.6982017720000002,7.294765846824842e-05
4293.4,0.4898979485566356,1.387414686,0.0003536041538840391
3894.0,0.0,1.1139151919999999,0.0002388637735111364
3494.0,0.0,0.8754149291,0.0002757530162600081
3095.0,0.0,0.6707073713,0.00016979162853924021
2694.5,0.5,0.4964158361,0.0001819742870844402
2295.1,0.3,0.35244155250000003,0.0001258000686337231
1897.0,0.0,0.23595664090000001,0.00020121115772613087
1498.0,0.0,0.14497738380000003,9.42765560049771e-05
1098.4,0.48989794855663565,0.07719445812,0.00014450748490324559
699.2,0.4,0.030812406799999997,0.0001090859124554313
298.9,0.30000000000000004,0.0036887497989999997,7.4463208668189e-05
